номер;тип_задачи;текст_задачи;изображение;выполнено;правильный_ответ
78;Логарифмы;Упростите выражение: 2log₅(5) + log₅(25);;False;4
79;Логарифмы;Найдите значение: log₄(2);;False;0.5
80;Логарифмы;Найдите значение: log₂₇(3);;False;1/3
81;Прогрессии;Найдите 5-й член арифметической прогрессии: 2, 5, 8, ...;;False;14
82;Прогрессии;Найдите сумму первых 10 членов арифметической прогрессии: 1, 3, 5, ...;;False;100
83;Прогрессии;Найдите 6-й член геометрической прогрессии: 3, 6, 12, ...;;False;96
84;Прогрессии;Найдите сумму первых 5 членов геометрической прогрессии: 2, 4, 8, ...;;False;62
85;Прогрессии;Найдите сумму бесконечно убывающей геометрической прогрессии: 16, 8, 4, ...;;False;32
86;Прогрессии;Разность арифметической прогрессии равна 3, первый член равен 2. Найдите 10-й член;;False;29
87;Прогрессии;Знаменатель геометрической прогрессии равен 2, первый член равен 5. Найдите 6-й член;;False;160
88;Прогрессии;Сумма первых 5 членов арифметической прогрессии равна 55, первый член равен 5. Найдите разность;;False;3
89;Прогрессии;Сумма первых 4 членов геометрической прогрессии равна 30, первый член равен 2. Найдите знаменатель;;False;2
90;Прогрессии;В арифметической прогрессии a₁=3, d=4. Найдите сумму первых 8 членов;;False;136
91;Теория вероятностей;Вероятность выпадения орла при подбрасывании монеты;;False;0.5
92;Теория вероятностей;Вероятность выпадения 5 на игральной кости;;False;1/6
93;Теория вероятностей;Вероятность выпадения четного числа на игральной кости;;False;0.5
94;Теория вероятностей;В колоде 36 карт. Вероятность вытащить туза;;False;1/9
95;Теория вероятностей;Брошены две монеты. Вероятность, что выпадут два орла;;False;0.25
96;Теория вероятностей;Брошены две игральные кости. Вероятность, что сумма очков равна 8;;False;5/36
97;Теория вероятностей;В урне 3 белых и 7 черных шаров. Вероятность вытащить белый шар;;False;0.3
98;Теория вероятностей;Вероятность, что случайно выбранное двузначное число делится на 11;;False;1/10
99;Теория вероятностей;В лотерее 100 билетов, 10 выигрышных. Вероятность выигрыша при покупке одного билета;;False;0.1
100;Теория вероятностей;Вероятность, что при двух бросках монеты хотя бы раз выпадет орел;;False;0.75
