"номер","тип_задачи","текст_задачи","изображение","выполнено","правильный_ответ"
"72","Логарифмы","Найдите значение: log₃(81)","","False","4"
"73","Логарифмы","Найдите значение: log₅(125)","","False","3"
"74","Логарифмы","Найдите значение: ln(e⁵)","","False","5"
"75","Логарифмы","Найдите значение: log(10000)","","False","4"
"76","Логарифмы","Упростите выражение: log₂(8) + log₂(4)","","False","5"
"77","Логарифмы","Упростите выражение: log₃(27) - log₃(9)","","False","1"
"78","Логарифмы","Упростите выражение: 2log₅(5) + log₅(25)","","False","4"
"79","Логарифмы","Найдите значение: log₄(2)","","False","0.5"
"80","Логарифмы","Найдите значение: log₂₇(3)","","False","1/3"
"81","Прогрессии","Найдите 5-й член арифметической прогрессии: 2, 5, 8, ...","","False","14"
"82","Прогрессии","Найдите сумму первых 10 членов арифметической прогрессии: 1, 3, 5, ...","","False","100"
"83","Прогрессии","Найдите 6-й член геометрической прогрессии: 3, 6, 12, ...","","False","96"
"84","Прогрессии","Найдите сумму первых 5 членов геометрической прогрессии: 2, 4, 8, ...","","False","62"
"85","Прогрессии","Найдите сумму бесконечно убывающей геометрической прогрессии: 16, 8, 4, ...","","False","32"
"86","Прогрессии","Разность арифметической прогрессии равна 3, первый член равен 2. Найдите 10-й член","","False","29"
"87","Прогрессии","Знаменатель геометрической прогрессии равен 2, первый член равен 5. Найдите 6-й член","","False","160"
"88","Прогрессии","Сумма первых 5 членов арифметической прогрессии равна 55, первый член равен 5. Найдите разность","","False","3"
"89","Прогрессии","Сумма первых 4 членов геометрической прогрессии равна 30, первый член равен 2. Найдите знаменатель","","False","2"
"90","Прогрессии","В арифметической прогрессии a₁=3, d=4. Найдите сумму первых 8 членов","","False","136"
"91","Теория вероятностей","Вероятность выпадения орла при подбрасывании монеты","","False","0.5"
"92","Теория вероятностей","Вероятность выпадения 5 на игральной кости","","False","1/6"
"93","Теория вероятностей","Вероятность выпадения четного числа на игральной кости","","False","0.5"
"94","Теория вероятностей","В колоде 36 карт. Вероятность вытащить туза","","False","1/9"
"95","Теория вероятностей","Брошены две монеты. Вероятность, что выпадут два орла","","False","0.25"
"96","Теория вероятностей","Брошены две игральные кости. Вероятность, что сумма очков равна 8","","False","5/36"
"97","Теория вероятностей","В урне 3 белых и 7 черных шаров. Вероятность вытащить белый шар","","False","0.3"
"98","Теория вероятностей","Вероятность, что случайно выбранное двузначное число делится на 11","","False","1/10"
"99","Теория вероятностей","В лотерее 100 билетов, 10 выигрышных. Вероятность выигрыша при покупке одного билета","","False","0.1"
"100","Теория вероятностей","Вероятность, что при двух бросках монеты хотя бы раз выпадет орел","","False","0.75"
"101","Теория вероятностей","В случайном эксперименте бросают две правильные игральные кости. Найдите вероятность того, что сумма выпавших очков равна 8.","","False","5/36"
"102","Теория вероятностей","Симметричную монету бросают три раза. Найдите вероятность того, что орёл выпадет ровно два раза.","","False","3/8"
"103","Теория вероятностей","В урне 5 белых и 7 чёрных шаров. Из урны наугад вынимают два шара без возвращения. Найдите вероятность того, что второй шар окажется белым, при условии, что первый был чёрным.","","False","5/11"
"104","Теория вероятностей","На фабрике 30% продукции производит автомат А, остальное — автомат В. Брак у автомата А составляет 2%, у автомата В — 4%. Найдите вероятность того, что наугад взятое изделие окажется бракованным.","","False","17/500"
"105","Теория вероятностей","Вероятность попадания в цель при одном выстреле равна 0.7. Производится 5 выстрелов. Найдите вероятность того, что будет ровно 3 попадания.","","False","0.3087"
"106","Теория вероятностей","На отрезок [0; 2] наудачу брошена точка. Найдите вероятность того, что её координата меньше 0.5.","","False","0.25"
"107","Теория вероятностей","Из 10 человек случайным образом выбирают комитет из 3 человек. Какова вероятность того, что два определённых человека (А и Б) оба попадут в комитет?","","False","1/15"
"108","Теория вероятностей","Случайная величина X имеет распределение: P(X=1)=0.2, P(X=2)=0.5, P(X=3)=0.3. Найдите математическое ожидание X.","","False","2.1"
"109","Теория вероятностей","Проверьте, являются ли независимыми события А и В, если P(A)=0.5, P(B)=0.6, P(A∩B)=0.3. Ответ дайте словом 'да' или 'нет'.","","False","да"
"110","Теория вероятностей","В некоторой местности 95% людей здоровы, 5% больны некоторой болезнью. Тест на болезнь даёт положительный результат у 90% больных и у 2% здоровых. Найдите вероятность того, что человек действительно болен, если тест положительный.","","False","45/64"
"111","Теория вероятностей","Из колоды в 36 карт наугад вытягивают одну карту. Найдите вероятность того, что эта карта либо туз, либо пиковой масти.","","False","1/3"
"112","Теория вероятностей","Брошена правильная игральная кость. Найдите вероятность того, что выпало число очков, кратное 3, при условии, что выпало чётное число.","","False","1/3"
"113","Теория вероятностей","В корзине 10 белых, 5 красных и 3 синих шара. Найдите вероятность того, что извлечённый наугад шар окажется белым или красным.","","False","5/6"
"114","Теория вероятностей","Два друга договорились встретиться в промежутке от 12:00 до 13:00. Каждый приходит в случайный момент времени и ждёт 15 минут, после чего уходит. Найдите вероятность того, что они встретятся.","","False","7/16"
"115","Теория вероятностей","Стрелок стреляет по мишени 3 раза. Вероятность попадания при первом выстреле 0.6, при втором 0.7, при третьем 0.8. Найдите вероятность того, что будет ровно два попадания.","","False","0.452"
"116","Теория вероятностей","В лотерее 100 билетов. Из них 2 выигрыша по 500 руб., 5 выигрышей по 100 руб., остальные без выигрыша. Найдите математическое ожидание выигрыша для владельца одного билета.","","False","15"
"117","Теория вероятностей","Игральную кость бросают 60 раз. Пусть X – число выпадений шестёрки. Найдите дисперсию X.","","False","25/3"
"118","Теория вероятностей","Из колоды в 36 карт наугад вытягивают одну карту. Найдите вероятность того, что это туз или черва.","","False","1/3"
"119","Теория вероятностей","В коробке 10 деталей, среди которых 3 бракованных. Наугад вынимают две детали без возвращения. Найдите вероятность того, что обе детали бракованные.","","False","1/15"
"120","Теория вероятностей","Вероятность появления события в каждом испытании равна 0.2. Сколько необходимо провести испытаний, чтобы с вероятностью не менее 0.95 можно было утверждать, что относительная частота события отличается от вероятности не более чем на 0.05? Используйте неравенство Чебышева.","","False","1280"
"121","Стереометрия","В кубе ABCDA₁B₁C₁D₁ найдите угол между прямыми A₁C₁ и BD.","","False","90°"
"122","Стереометрия","В правильной треугольной пирамиде SABC (S – вершина) ребро основания равно 6, боковое ребро равно 5. Найдите угол между боковым ребром SA и плоскостью основания.","","False","arccos(2√3/5)"
"123","Стереометрия","В правильной четырёхугольной пирамиде SABCD (S – вершина) сторона основания равна 4, апофема равна 5. Найдите угол между боковой гранью и плоскостью основания.","","False","arccos(0.4)"
"124","Стереометрия","В единичном кубе ABCDA₁B₁C₁D₁ найдите расстояние от точки A до плоскости BDA₁.","","False","√3/3"
"125","Стереометрия","В правильной треугольной призме ABCA₁B₁C₁, все рёбра которой равны 1, найдите расстояние между прямыми AB и A₁C₁.","","False","1"
"126","Стереометрия","Основанием прямой призмы является ромб с диагоналями 6 и 8. Высота призмы равна 10. Найдите объём призмы.","","False","240"
"127","Стереометрия","В правильной треугольной пирамиде сторона основания равна 6, а боковое ребро наклонено к плоскости основания под углом 60°. Найдите объём пирамиды.","","False","18√3"
"128","Стереометрия","Цилиндр получен вращением прямоугольника со сторонами 4 и 7 вокруг большей стороны. Найдите площадь полной поверхности цилиндра.","","False","88π"
"129","Стереометрия","Образующая конуса равна 10, а радиус основания – 6. Найдите объём конуса.","","False","96π"
"130","Стереометрия","Площадь сечения шара плоскостью, проходящей через его центр, равна 25π. Найдите объём шара.","","False","500π/3"
"131","Стереометрия","Шар радиуса 5 вписан в цилиндр так, что он касается оснований и боковой поверхности. Найдите высоту цилиндра.","","False","10"
"132","Стереометрия","В кубе ABCDA₁B₁C₁D₁ с ребром 2 постройте сечение через вершины A, C₁ и середину ребра B₁C₁. Найдите его площадь.","","False","3√6/2"
"133","Стереометрия","В правильной шестиугольной призме ABCDEFA₁B₁C₁D₁E₁F₁, все рёбра которой равны 1, найдите косинус угла между прямыми AB₁ и BC₁.","","False","0.75"
"134","Стереометрия","В тетраэдре ABCD: AB = AC = AD = 5, BC = CD = DB = 6. Найдите косинус угла между плоскостями ABC и ABD.","","False","1/5"
"135","Стереометрия","В правильной четырёхугольной пирамиде сторона основания равна 2√2, а боковое ребро равно √5. Найдите радиус описанной сферы.","","False","5/2"
"136","Стереометрия","В конус, образующая которого наклонена к плоскости основания под углом 30°, вписана сфера радиуса 2. Найдите высоту конуса.","","False","6"
"137","Стереометрия","В правильной треугольной пирамиде SABC с вершиной S сторона основания равна 6, высота пирамиды равна 3. Плоскость, параллельная основанию, пересекает высоту в точке, делящей её в отношении 1:2 (от вершины). Найдите площадь сечения.","","False","4√3"
"138","Стереометрия","Радиусы оснований усечённого конуса равны 3 и 6, высота равна 4. Найдите объём усечённого конуса.","","False","84π"
"139","Стереометрия","Ребро правильного тетраэдра равно a. Найдите расстояние между его скрещивающимися рёбрами.","","False","a√2/2"
"140","Стереометрия","Цилиндр, радиус основания которого 3, а высота 4, описан около правильной треугольной призмы (основания призмы вписаны в основания цилиндра). Найдите площадь полной поверхности призмы.","","False","54√3 + 72"
"141","Геометрия","В треугольнике ABC угол A равен 60°, сторона AB = 5, AC = 8. Найдите сторону BC.","","False","7"
"142","Геометрия","Около окружности радиуса 3 описан равнобедренный треугольник с основанием 10. Найдите боковую сторону треугольника.","","False","10"
"143","Геометрия","В прямоугольном параллелепипеде ABCDA₁B₁C₁D₁ ребра AB = 3, AD = 4, AA₁ = 12. Найдите угол между диагональю B₁D и плоскостью основания ABCD.","","False","arctg(12/5)"
"144","Геометрия","В правильной шестиугольной призме все ребра равны 1. Найдите расстояние от вершины A до плоскости BCD₁.","","False","√3/2"
"145","Геометрия","Две окружности радиусов 5 и 3 касаются внешним образом. Найдите расстояние от точки касания до общей внешней касательной.","","False","2√15/3"
"146","Геометрия","В трапеции ABCD с основаниями AD = 10 и BC = 4 диагонали пересекаются в точке O. Найдите отношение площадей треугольников AOD и BOC.","","False","25/4"
"147","Геометрия","Сфера радиуса 10 касается всех граней правильной треугольной пирамиды. Найдите высоту пирамиды, если апофема равна 13.","","False","12"
"148","Геометрия","В равнобедренном треугольнике боковая сторона равна 17, а основание – 16. Найдите радиус вписанной окружности.","","False","16/3"
"149","Геометрия","Через вершину прямого угла C прямоугольного треугольника ABC проведена плоскость α, параллельная гипотенузе AB. Проекции катетов на эту плоскость равны 4 и 6. Найдите длину гипотенузы.","","False","2√13"
"150","Геометрия","В цилиндр вписана правильная треугольная призма так, что её основания вписаны в основания цилиндра. Радиус цилиндра равен 2√3, высота цилиндра равна 5. Найдите объём призмы.","","False","45√3"
"151","Геометрия","Площадь боковой поверхности конуса в два раза больше площади основания. Найдите угол при вершине осевого сечения конуса.","","False","60°"
"152","Геометрия","В параллелограмме ABCD угол A равен 60°, AB = 6, AD = 8. Найдите длину большей диагонали.","","False","2√37"
"153","Геометрия","В кубе ABCDA₁B₁C₁D₁ с ребром 4 найдите расстояние от точки A до прямой B₁D.","","False","4√6/3"
"154","Геометрия","Отрезок, соединяющий середины противоположных сторон выпуклого четырёхугольника, делит его площадь пополам. Докажите, что этот четырёхугольник – параллелограмм. (В ответе укажите слово)","","False","параллелограмм"
"155","Геометрия","Около конуса описана сфера (сфера содержит окружность основания и вершину конуса). Радиус сферы равен 5, радиус основания конуса равен 4. Найдите высоту конуса.","","False","8"
"156","Геометрия","В треугольник со сторонами 13, 14, 15 вписана окружность. Найдите расстояние от центра окружности до вершины большего угла.","","False","√65"
"157","Геометрия","В правильной четырёхугольной пирамиде сторона основания равна 6, а боковое ребро наклонено к плоскости основания под углом 45°. Найдите площадь сферы, описанной около пирамиды.","","False","72π"
"158","Геометрия","Площадь треугольника равна 24, а две его стороны равны 8 и 12. Найдите угол между этими сторонами (в градусах).","","False","30° или 150°"
"159","Геометрия","В прямоугольном параллелепипеде диагональ равна 13, а диагонали двух смежных граней равны 12 и 3√17. Найдите объём параллелепипеда.","","False","144"
"160","Геометрия","Вокруг окружности радиуса 2 описана равнобокая трапеция с острым углом 30°. Найдите площадь трапеции.","","False","32"
"161","Логарифмы","Вычислите: log₂ 8 + log₃ 27","","False","6"
"162","Логарифмы","Найдите значение выражения: log₅ 125 – log₅ 5","","False","2"
"163","Логарифмы","Решите уравнение: log₃ (x+2) = 2","","False","7"
"164","Логарифмы","Решите уравнение: log₂ (3x-1) = log₂ (x+5)","","False","3"
"165","Логарифмы","Решите неравенство: log₀,₅ (2x-1) > -1","","False","(0.5; 1.5)"
"166","Логарифмы","Вычислите: log₂ 24 – log₂ 3","","False","3"
"167","Логарифмы","Вычислите: log₉ 27","","False","1.5"
"168","Логарифмы","Решите уравнение: log₂ (x² – 3x) = log₂ (2x – 6)","","False","6"
"169","Логарифмы","Решите неравенство: log₃ x > log₉ 36","","False","(6; +∞)"
"170","Логарифмы","Найдите область определения функции: y = log₂ (4 – x²)","","False","(-2; 2)"
"171","Логарифмы","Найдите производную функции: y = ln(3x+1)","","False","3/(3x+1)"
"172","Логарифмы","Вычислите: ∫(1/x) dx от 1 до e","","False","1"
"173","Логарифмы","Вычислите: log₂ 8³","","False","9"
"174","Логарифмы","Решите уравнение: 3^(log₃ (x+2)) = 5","","False","3"
"175","Логарифмы","Вычислите: logₐ (bc), если logₐ b = 3, logₐ c = 4","","False","7"
"176","Логарифмы","Решите неравенство: log₀,₅² x – 3 log₀,₅ x + 2 ≤ 0","","False","[0.25; 0.5]"
"177","Логарифмы","Вычислите: lg 2 + lg 5","","False","1"
"178","Логарифмы","Вычислите: ln e³ – ln 1","","False","3"
"179","Логарифмы","Решите уравнение: log₂ |x-1| = 2","","False","-3 или 5"
"180","Логарифмы","Решите систему: { log₂ x + log₂ y = 3, x + y = 6 }","","False","(2;4) или (4;2)"
"181","Логарифмы","Укажите асимптоту графика функции y = log₂ (x-3)","","False","x=3"
"182","Логарифмы","Вычислите: log_{4} 8","","False","1.5"
"183","Логарифмы","Решите уравнение: log_{x} 16 = 2","","False","4"
"184","Логарифмы","Решите неравенство: log_{x} (x+2) > 0","","False","(0;1) ∪ (2;+∞)"
"185","Логарифмы","Решите уравнение: 5^(x) = 7","","False","log₅ 7"
"186","Логарифмы","Решите уравнение: log₃ (2x-1) – log₃ (x-2) = 1","","False","5"
"187","Логарифмы","Найдите lg 25 + lg 4","","False","2"
"188","Логарифмы","Сравните числа: log₂ 3 и log₂ 5","","False","log₂ 3 < log₂ 5"
"189","Логарифмы","Решите уравнение: lg(x² – 9) = lg(4x)","","False","нет корней"
"190","Логарифмы","Решите неравенство: log₃ (x² – 4x) ≤ 1 + log₃ (x-4)","","False","(4; 5]"
"191","Логарифмы","Решите уравнение: 2^(log₂ (x+1)) = x² – 3","","False","2"
"192","Логарифмы","Вычислите предел: lim_{x→0} ln(1+x)/x","","False","1"
"193","Логарифмы","Найдите производную: y = ln(sin x)","","False","ctg x"
"194","Логарифмы","Найдите ∫ (1/(x ln x)) dx","","False","ln|ln x| + C"
"195","Логарифмы","При всех значениях a решите неравенство: log_a (x) > 0","","False","a>1: x>1; 0<a<1: 0<x<1"
"196","Логарифмы","Вычислите: log₂ (√(32))","","False","2.5"
"197","Логарифмы","Упростите: a^(log_a b)","","False","b"
"198","Логарифмы","Решите уравнение: log₂ x = log₉ x","","False","1"
"199","Логарифмы","Составьте уравнение касательной к графику y = ln x в точке x=1","","False","y = x-1"
"200","Логарифмы","Выразите log_{ab} c через log_a c и log_b c (a,b,c>0, a,b≠1)","","False","(1) / (1/log_c a + 1/log_c b)"
"201","Неравенства","Решите неравенство: 3x – 7 > 2x + 5","","False","(12; +∞)"
"202","Неравенства","Решите неравенство: x² – 5x + 6 ≤ 0","","False","[2; 3]"
"203","Неравенства","Решите неравенство: x² + 4x + 5 > 0","","False","(-∞; +∞)"
"204","Неравенства","Решите неравенство: |x – 3| ≤ 5","","False","[-2; 8]"
"205","Неравенства","Решите неравенство: |2x + 1| > 3","","False","(-∞; -2) ∪ (1; +∞)"
"206","Неравенства","Решите неравенство: (x – 1)(x + 2)/(x – 3) ≤ 0","","False","(-∞; -2] ∪ [1; 3)"
"207","Неравенства","Решите неравенство: (x² – 4)/(x – 1) ≥ 0","","False","[-2; 1) ∪ [2; +∞)"
"208","Неравенства","Решите систему: { 2x – 1 > 0, 3x – 6 ≤ 0 }","","False","(0.5; 2]"
"209","Неравенства","Решите двойное неравенство: -2 ≤ (3x+1)/2 ≤ 4","","False","[-5/3; 7/3]"
"210","Неравенства","Решите неравенство: √(x+2) > x","","False","[-2; 2)"
"211","Неравенства","Решите неравенство: √(x+3) ≤ √(2x+1)","","False","[-3; 2]"
"212","Неравенства","Решите неравенство: 2^(x+1) ≤ 8","","False","(-∞; 2]"
"213","Неравенства","Решите неравенство: (1/3)^(2x) > 1/9","","False","(-∞; 1)"
"214","Неравенства","Решите неравенство: log₂ (x-1) ≤ 3","","False","(1; 9]"
"215","Неравенства","Решите неравенство: log₀,₅ (2x-3) ≥ -1","","False","(1.5; 2.5]"
"216","Неравенства","Решите неравенство: log_x (x+2) > 1","","False","(0;1) ∪ (2;+∞)"
"217","Неравенства","Решите неравенство: log₂ (x-1) + log₂ (x-2) ≤ 1","","False","(2; 3]"
"218","Неравенства","Решите неравенство: 5^(log₅ (x²-4x)) ≤ 4","","False","[-1; 0) ∪ (4; 5]"
"219","Неравенства","Решите неравенство: sin x ≤ 1/2 на промежутке [0; 2π]","","False","[0; π/6] ∪ [5π/6; 2π]"
"220","Неравенства","Решите неравенство: |x|/(x-2) ≥ 0","","False","(-∞; 0] ∪ (2; +∞)"
"221","Неравенства","Решите неравенство: x⁴ – 13x² + 36 ≥ 0","","False","(-∞; -3] ∪ [-2; 2] ∪ [3; +∞)"
"222","Неравенства","При всех значениях параметра a решите неравенство: ax > 3","","False","a=0: нет решений; a>0: (3/a; +∞); a<0: (-∞; 3/a)"
"223","Неравенства","Решите неравенство: √(x² – 3x + 2) < √(2x – 3)","","False","[2; 5/2)"
"224","Неравенства","Решите неравенство: 4^x – 3·2^x + 2 ≤ 0","","False","[0; 1]"
"225","Неравенства","Решите неравенство: |log₂ x| ≤ 1","","False","[0.5; 2]"
"226","Неравенства","Решите неравенство: (x+2)/(x-3) ≤ 1","","False","(-∞; 3)"
"227","Неравенства","Решите систему: { |x-2| ≤ 2, x² – 3x > 0 }","","False","(3; 4]"
"228","Неравенства","Найдите все a, при которых неравенство √(x+1) > a – x имеет решение на [-1;0]","","False","(-∞; √2)"
"229","Неравенства","Решите неравенство: 3^(x+2) – 3^(x) < 24","","False","(-∞; 1)"
"230","Неравенства","Решите неравенство: log₀,₂ (x² + 3x) ≥ -1","","False","[-5; -4) ∪ (1; 2]"
"231","Прогрессии","В арифметической прогрессии первый член равен 5, разность равна 3. Найдите седьмой член прогрессии.","","False","23"
"232","Прогрессии","В геометрической прогрессии первый член равен 4, знаменатель равен 2. Найдите пятый член прогрессии.","","False","64"
"233","Прогрессии","Дана арифметическая прогрессия: 3, 7, 11, ... . Найдите сумму первых десяти членов.","","False","210"
"234","Прогрессии","Сумма второго и четвёртого членов арифметической прогрессии равна 14, а седьмой член в два раза больше третьего. Найдите разность прогрессии.","","False","2"
"235","Прогрессии","Три числа образуют геометрическую прогрессию. Их произведение равно 216. Найдите среднее число.","","False","6"
"236","Прогрессии","Найдите сумму бесконечно убывающей геометрической прогрессии: 9, -3, 1, -1/3, ...","","False","27/4"
"237","Прогрессии","В арифметической прогрессии a1 = 2, a5 = 10. Найдите a3.","","False","6"
"238","Прогрессии","Геометрическая прогрессия задана условиями: b1 = 3, b_{n+1} = 2*b_n. Найдите b6.","","False","96"
"239","Прогрессии","Сумма первых трёх членов арифметической прогрессии равна 15, а сумма первых пяти членов равна 35. Найдите первый член.","","False","3"
"240","Прогрессии","Между числами 2 и 54 вставьте два числа так, чтобы получилась геометрическая прогрессия. Найдите эти числа.","","False","6 и 18"
"241","Прогрессии","Сумма второго и пятого членов арифметической прогрессии равна 18, а произведение третьего и четвёртого равно 80. Найдите разность прогрессии (отрицательную).","","False","-2"
"242","Прогрессии","Знаменатель геометрической прогрессии равен -2, а сумма первых трёх членов равна 21. Найдите первый член.","","False","7"
"243","Прогрессии","Сколько членов арифметической прогрессии 12, 16, 20, ... нужно взять, чтобы их сумма равнялась 360?","","False","12"
"244","Прогрессии","В геометрической прогрессии b1 = 6, b4 = 48. Найдите знаменатель прогрессии.","","False","2"
"245","Прогрессии","Три числа, образующие арифметическую прогрессию, в сумме дают 21. Если к ним прибавить соответственно 2, 3 и 9, то получатся три числа, образующие геометрическую прогрессию. Найдите исходные числа.","","False","5,7,9"
"246","Прогрессии","Сумма бесконечно убывающей геометрической прогрессии равна 8, а сумма квадратов её членов равна 32. Найдите первый член и знаменатель.","","False","4 и 0.5"
"247","Прогрессии","Арифметическая прогрессия задана формулой a_n = 4n - 3. Найдите сумму членов с 5-го по 10-й включительно.","","False","124"
"248","Прогрессии","В геометрической прогрессии произведение первого и третьего членов равно 16, а третий член больше первого на 6. Найдите первый член и знаменатель (оба положительные).","","False","2 и 2"
"249","Прогрессии","Три числа составляют арифметическую прогрессию. Если среднее число увеличить на 1, то получится геометрическая прогрессия. Найдите исходные числа, если их сумма равна 9.","","False","2,3,4"
"250","Прогрессии","Найдите сумму всех натуральных трёхзначных чисел, кратных 5.","","False","98550"
"251","Прогрессии","В арифметической прогрессии a1 = -10, a5 = 2. Найдите сумму первых десяти членов.","","False","-10"
